Team,WP,OWP,DOWP,OOWP,DOOWP,Division,Sectional,Seed,Year
Menasha,0.6,0.51566,0.49387,0.51751,0.51201,2,2A,5,2023
Menominee Indian,0.52381,0.4903,0.5283,0.52328,0.52663,4,2B,7,2023
Menomonee Falls,0.7,0.49858,0.47386,0.55238,0.55492,1,2A,6,2023
Menomonie,0.63636,0.52567,0.52035,0.54136,0.54743,2,1A,1,2023
Mercer,0.40909,0.47241,0.47241,0.49106,0.4898,5,1A,8,2023
Merrill,0.56522,0.49877,0.48564,0.51303,0.51253,2,1B,3,2023
Middleton,0.59091,0.47853,0.48684,0.53292,0.5287,1,3A,8,2023
Milton,0.26087,0.50337,0.50337,0.52962,0.52962,2,3A,9,2023
Milw Pulaski Co-op,0.66667,0.43919,0.44,0.4606,0.45924,1,4A,6,2023
Milwaukee Academy of Science,0.85714,0.51474,0.46377,0.52595,0.51768,3,4A,3,2023
Milwaukee Bay View,0.52632,0.51818,0.5,0.46053,0.43577,2,4B,7,2023
Milwaukee Bradley/Milw. Arts,0.27778,0.46,0.52308,0.45893,0.45312,1,3A,15,2023
Milwaukee Hamilton/Audubon,0.10526,0.3539,0.39924,0.46795,0.4666,1,4A,16,2023
Milwaukee King,0.68182,0.4451,0.4254,0.50656,0.50491,1,2A,13,2023
Milwaukee Lutheran,0.09524,0.52033,0.52318,0.50478,0.5115,2,4A,10,2023
Milwaukee Madison,0.23529,0.42857,0.42857,0.45204,0.45204,2,2B,9,2023
Milwaukee Marshall/Young Coggs,0.11111,0.42188,0.40909,0.44845,0.46136,2,4A,9,2023
Milwaukee North,0.86667,0.40845,0.36585,0.45137,0.44409,3,4A,4,2023
Milwaukee Reagan,0.47619,0.5241,0.51768,0.47941,0.48031,1,4A,10,2023
Milwaukee Riverside,0.19048,0.49682,0.52921,0.47933,0.47812,1,2A,16,2023
Milwaukee School of Languages,0.55,0.4669,0.43233,0.47952,0.47742,3,4A,8,2023
Milwaukee Vincent,0.0,0.43388,0.44344,0.45408,0.45891,2,2B,11,2023
Milwaukee Washington/Fuller Collegiate,0.5,0.38372,0.34802,0.47318,0.46465,2,4A,8,2023
Mineral Point,0.77273,0.5051,0.49865,0.54381,0.54448,4,3B,4,2023
Mishicot,0.71429,0.54178,0.54178,0.54305,0.54305,4,2B,4,2023
Mondovi,0.40909,0.57104,0.5436,0.52471,0.52289,4,1B,8,2023
Monona Grove,0.86364,0.57583,0.57583,0.5433,0.5433,2,3A,1,2023
Monroe,0.09091,0.50913,0.53237,0.5205,0.52295,2,3A,10,2023
Montello,0.2,0.43925,0.44816,0.47639,0.47309,4,2A,10,2023
Monticello,0.66667,0.37349,0.34432,0.47647,0.48092,5,4A,6,2023
Mosinee,0.57143,0.52332,0.49854,0.51563,0.52222,2,1B,4,2023
Mount Horeb,0.28571,0.53286,0.5396,0.5394,0.53814,2,3A,8,2023
Mukwonago,0.27273,0.53779,0.53779,0.51068,0.51068,1,4A,12,2023
Muskego,0.52174,0.57971,0.57971,0.52526,0.52526,1,4A,8,2023
Necedah,0.25,0.44375,0.46154,0.49477,0.49235,4,2A,8,2023
Neenah,0.95652,0.592,0.58683,0.55887,0.56605,1,1A,1,2023
Neillsville,1.0,0.57457,0.5387,0.55682,0.54995,4,1B,1,2023
Nekoosa,0.1,0.4451,0.44127,0.4805,0.47654,4,2A,12,2023
